Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
76.0,Probe List,tools,0.0,Screw,Tornillo,Cargol,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,5.0,NA,NA,NA,NA,8.0,1.0,NA,6.0,NA,NA
77.0,Probe List,clothing,0.0,sock,calcetín,mitjó,3.0,2.0,8.0,2.0,2.0,2.5,1047.0,4195.0,4.0,8.9804,581.0,578.0,553.0,8.0,1.0,2.0,5.0,0.74141,38.0
78.0,Probe List,food/veg,0.0,lettuce,lechuga,enciam,3.0,5.658,7.0,6.152,6.152,3.8221,6708.0,5114.0,7.0,3.3922,579.0,565.0,608.0,7.0,2.0,3.0,6.0,2.61445,134.0
79.0,Probe List,kitchen item,0.0,can,lata,llauna,2.0,2.0,4.0,5.701,5.701,15.9375,13963.0,2531671.0,3.0,5247.451,365.0,620.0,369.0,4.0,1.0,2.0,6.0,11.9601,613.0
80.0,Probe List,place,1.0,House,casa,casa,2.0,6.575,4.0,5.631,5.631,1378.2933,909773.0,NA,5.0,NA,NA,NA,NA,4.0,2.0,2.0,4.0,841.813,43146.0
81.0,Probe List,furniture,0.0,table,mesa,taula,2.0,6.782,4.0,6.395,6.395,109.6154,153470.0,216451.0,5.0,105.6275,604.0,599.0,582.0,4.0,2.0,2.0,5.0,192.396,9861.0
82.0,Probe List,kitchen item,0.0,pan,sartén,paella,2.0,5.58,6.0,6.506,6.506,3.2692,7152.0,27210.0,3.0,12.2941,586.0,566.0,532.0,6.0,1.0,3.0,6.0,9.01399,462.0
83.0,Probe List,animal,0.0,squirrel,ardilla,esquirol,3.0,5.873,7.0,6.393,6.393,7.6442,1859.0,3934.0,8.0,5.4706,612.0,511.0,642.0,7.0,2.0,3.0,8.0,4.42895,227.0
84.0,Probe List,food/fruit,0.0,peach,melocotón,préssec,4.0,2.0,9.0,2.0,2.0,2.4038,1720.0,5154.0,5.0,6.3529,617.0,536.0,613.0,9.0,1.0,2.0,7.0,2.94613,151.0
85.0,Probe List,kitchen item,0.0,glass,vaso,vas/got,2.0,6.613,4.0,6.523,6.523,26.0577,35007.0,75340.0,5.0,60.7059,635.0,611.0,585.0,4.0,1.0,NA,3.0,NA,NA
86.0,Probe List,plant,2.0,thorn,espina,espina,3.0,5.645,6.0,5.31,5.31,4.4952,7639.0,2669.0,5.0,5.098,586.0,454.0,600.0,6.0,1.0,3.0,6.0,8.3116,426.0
87.0,Probe List,instrument,2.0,flute ,flauta,flauta,2.0,5.971,6.0,6.161,6.161,3.5096,5402.0,NA,6.0,NA,NA,NA,NA,6.0,2.0,2.0,6.0,7.9409,407.0
89.0,Probe List,kitchen item,0.0,Spoon,Cuchara ,Cullera ,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,5.0,NA,NA,NA,NA,8.0,1.0,NA,8.0,NA,NA
90.0,Probe List,accessory,0.0,earrings,aretes/pantallas/,anells/arracada,2.6666666666666665,2.0,5.0,2.0,2.0,NA,NA,4889.0,8.0,6.1373,NA,NA,NA,5.0,NA,NA,7.0,NA,NA
92.0,Probe List,beauty,0.0,mirror,espejo,mirall,3.0,5.595,6.0,6.345,6.345,28.2212,50664.0,33515.0,6.0,24.1765,605.0,593.0,627.0,6.0,2.0,2.0,6.0,37.6754,1931.0
94.0,Probe List,kitchen item,1.0,strainer,colador,colador,3.0,2.0,7.0,2.0,2.0,NA,1784.0,794.0,8.0,NA,NA,NA,NA,7.0,2.0,3.0,7.0,1.65842,85.0
96.0,Probe List,food/snack,0.0,cheese,queso,formatge,2.0,5.849,5.0,5.992,5.992,46.9712,32162.0,35996.0,6.0,39.0392,624.0,588.0,592.0,5.0,1.0,3.0,8.0,10.9651,562.0
98.0,Probe List,household item,0.0,bed,cama,llit,2.0,7.0,4.0,6.116,6.116,178.1731,85257.0,115014.0,3.0,187.1176,635.0,636.0,635.0,4.0,1.0,1.0,4.0,153.121,7848.0
100.0,Probe List,place,1.0,Gym,gimnasio,gimnàs,3.0,6.492,8.0,6.135,6.135,25.0962,22160.0,NA,3.0,NA,NA,NA,NA,8.0,1.0,2.0,6.0,2.00961,103.0
106.0,Probe List,object,0.0,brick,ladrillo,maó,3.0,5.432,8.0,6.156,6.156,5.4327,9093.0,14228.0,5.0,10.1765,610.0,529.0,574.0,8.0,1.0,2.0,3.0,4.05825,208.0
108.0,Probe List,kitchen item,0.0,Straw,paja/caña/pajita,palla/canya/canyeta,2.3333333333333335,3.2726666666666664,4.666666666666667,3.8546666666666667,3.8546666666666667,NA,NA,NA,5.0,NA,NA,NA,NA,4.666666666666667,1.0,NA,5.666666666666667,NA,NA
109.0,Probe List,nature,1.0,Mountain,montaña,muntanya,3.0,5.122,7.0,5.996,5.996,33.3413,52642.0,NA,8.0,NA,NA,NA,NA,7.0,2.0,3.0,8.0,102.529,5255.0
